,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.618,0.806,7,-5.308,1,0.0317,0.0179,0.776,0.181,0.222,140.009,audio_features,4YCVbp6suJ2Ayk9EtWQJuR,spotify:track:4YCVbp6suJ2Ayk9EtWQJuR,https://api.spotify.com/v1/tracks/4YCVbp6suJ2Ayk9EtWQJuR,https://api.spotify.com/v1/audio-analysis/4YCVbp6suJ2Ayk9EtWQJuR,259849,4
1,0.706,0.863,4,-6.386,0,0.0475,0.0131,0.834,0.119,0.309,142.007,audio_features,2HhhhHfVEmz09NAb0FxgDW,spotify:track:2HhhhHfVEmz09NAb0FxgDW,https://api.spotify.com/v1/tracks/2HhhhHfVEmz09NAb0FxgDW,https://api.spotify.com/v1/audio-analysis/2HhhhHfVEmz09NAb0FxgDW,230074,4
2,0.792,0.919,6,-9.028,0,0.0819,0.137,0.151,0.274,0.711,128.968,audio_features,5qKuF0NtvWVn5UarAgyli3,spotify:track:5qKuF0NtvWVn5UarAgyli3,https://api.spotify.com/v1/tracks/5qKuF0NtvWVn5UarAgyli3,https://api.spotify.com/v1/audio-analysis/5qKuF0NtvWVn5UarAgyli3,186625,4
3,0.684,0.997,8,-5.538,1,0.0579,0.00255,0.779,0.253,0.514,142.01,audio_features,0lIOamNC6EMXu1AgPyzSTD,spotify:track:0lIOamNC6EMXu1AgPyzSTD,https://api.spotify.com/v1/tracks/0lIOamNC6EMXu1AgPyzSTD,https://api.spotify.com/v1/audio-analysis/0lIOamNC6EMXu1AgPyzSTD,299387,4
4,0.594,0.767,5,-3.706,1,0.371,0.00152,8.47E-05,0.346,0.717,129.955,audio_features,0LKAbdXTieXQrjuImr9B9u,spotify:track:0LKAbdXTieXQrjuImr9B9u,https://api.spotify.com/v1/tracks/0LKAbdXTieXQrjuImr9B9u,https://api.spotify.com/v1/audio-analysis/0LKAbdXTieXQrjuImr9B9u,140538,4
5,0.87,0.685,10,-5.829,0,0.237,0.11,0.000299,0.119,0.204,131.986,audio_features,5CaUUACiQFEf4zR5WoeIrp,spotify:track:5CaUUACiQFEf4zR5WoeIrp,https://api.spotify.com/v1/tracks/5CaUUACiQFEf4zR5WoeIrp,https://api.spotify.com/v1/audio-analysis/5CaUUACiQFEf4zR5WoeIrp,180000,4
6,0.629,0.694,11,-6.809,0,0.0381,0.295,0.796,0.137,0.226,129.01,audio_features,1ojCQ0v59O77rKZbwN8aQh,spotify:track:1ojCQ0v59O77rKZbwN8aQh,https://api.spotify.com/v1/tracks/1ojCQ0v59O77rKZbwN8aQh,https://api.spotify.com/v1/audio-analysis/1ojCQ0v59O77rKZbwN8aQh,336541,4
7,0.789,0.808,7,-5.889,0,0.0409,0.19,0.718,0.119,0.59,135.026,audio_features,0Q7PR1J2BDz9VdONFGBJoU,spotify:track:0Q7PR1J2BDz9VdONFGBJoU,https://api.spotify.com/v1/tracks/0Q7PR1J2BDz9VdONFGBJoU,https://api.spotify.com/v1/audio-analysis/0Q7PR1J2BDz9VdONFGBJoU,179333,4
8,0.713,0.848,0,-5.566,1,0.0471,0.00331,0.00625,0.264,0.822,159.989,audio_features,0XMWc0qrKeJnRzzyMj9Q7D,spotify:track:0XMWc0qrKeJnRzzyMj9Q7D,https://api.spotify.com/v1/tracks/0XMWc0qrKeJnRzzyMj9Q7D,https://api.spotify.com/v1/audio-analysis/0XMWc0qrKeJnRzzyMj9Q7D,249023,4
9,0.796,0.65,11,-7.179,0,0.272,0.0352,1.09E-06,0.114,0.852,132.997,audio_features,3PHuxF4HAHteJUSezfBRj2,spotify:track:3PHuxF4HAHteJUSezfBRj2,https://api.spotify.com/v1/tracks/3PHuxF4HAHteJUSezfBRj2,https://api.spotify.com/v1/audio-analysis/3PHuxF4HAHteJUSezfBRj2,211000,4
10,0.595,0.849,6,-6.279,1,0.111,0.0233,0.0644,0.125,0.461,136.971,audio_features,1ka96CzPUdKdTyz1YqPQVG,spotify:track:1ka96CzPUdKdTyz1YqPQVG,https://api.spotify.com/v1/tracks/1ka96CzPUdKdTyz1YqPQVG,https://api.spotify.com/v1/audio-analysis/1ka96CzPUdKdTyz1YqPQVG,183679,4
