,Title,Artist
0,Cruel Summer,Taylor Swift
1,Paint The Town Red,Doja Cat
2,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
3,Snooze,SZA
4,Standing Next To You,Jung Kook
5,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
6,Now And Then,The Beatles
7,Fast Car,Luke Combs
8,Thinkin' Bout Me,Morgan Wallen
9,Last Night,Morgan Wallen
10,Greedy,Tate McRae
11,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
12,Fukumean,Gunna
13,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
14,Need A Favor,Jelly Roll
15,Dance The Night,Dua Lipa
16,Vampire,Olivia Rodrigo
17,Water,Tyla
18,Monaco,Bad Bunny
19,Agora Hills,Doja Cat
20,IDGAF,Drake Featuring Yeat
21,Save Me,Jelly Roll With Lainey Wilson
22,Flowers,Miley Cyrus
23,First Person Shooter,Drake Featuring J. Cole
24,Used To Be Young,Miley Cyrus
25,Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift
26,Lil Boo Thang,Paul Russell
27,What Was I Made For?,Billie Eilish
28,White Horse,Chris Stapleton
29,Good Good,"Usher, Summer Walker & 21 Savage"
30,Slut! (Taylor's Version) [From The Vault],Taylor Swift
31,Cobra,Megan Thee Stallion
32,My Love Mine All Mine,Mitski
33,What It Is (Block Boy),Doechii Featuring Kodak Black
34,Dial Drunk,Noah Kahan With Post Malone
35,Daylight,David Kushner
36,Stick Season,Noah Kahan
37,Kill Bill,SZA
38,Barbie World,Nicki Minaj & Ice Spice With Aqua
39,I Know ?,Travis Scott
40,Bad Idea Right?,Olivia Rodrigo
41,Wild Ones,Jessie Murph & Jelly Roll
42,Lose Control,Teddy Swims
43,Harley Quinn,Fuerza Regida & Marshmello
44,Style (Taylor's Version),Taylor Swift
45,Pretty Little Poison,Warren Zeiders
46,Bad Blood (Taylor's Version),Taylor Swift
47,World On Fire,Nate Smith
48,Seven,Jung Kook Featuring Latto
49,Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift
50,On My Mama,Victoria Monet
51,Try That In A Small Town,Jason Aldean
52,Strangers,Kenya Grace
53,Virginia Beach,Drake
54,500lbs,Lil Tecca
55,Can't Catch Me Now,Olivia Rodrigo
56,Perro Negro,Bad Bunny & Feid
57,3D,Jung Kook & Jack Harlow
58,Blank Space (Taylor's Version),Taylor Swift
59,Get Him Back!,Olivia Rodrigo
60,The Painter,Cody Johnson
61,Great Gatsby,Rod Wave
62,Single Soon,Selena Gomez
63,Bongos,Cardi B & Megan Thee Stallion
64,Watermelon Moonshine,Lainey Wilson
65,Qlona,Karol G & Peso Pluma
66,Can't Have Mine,Dylan Scott
67,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
68,Everything I Love,Morgan Wallen
69,Slime You Out,Drake Featuring SZA
70,Rich Men North Of Richmond,Oliver Anthony Music
71,Wildest Dreams (Taylor's Version),Taylor Swift
72,Out Of The Woods (Taylor's Version),Taylor Swift
73,Truck Bed,HARDY
74,Meltdown,Travis Scott Featuring Drake
75,Hey Driver,Zach Bryan Featuring The War And Treaty
76,Welcome To New York (Taylor's Version),Taylor Swift
77,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
78,Segun Quien,Maluma & Carin Leon
79,Burn It Down,Parker McCollum
80,Stars Like Confetti,Dustin Lynch
81,LaLa,Myke Towers
82,Shake It Off (Taylor's Version),Taylor Swift
83,SkeeYee,Sexyy Red
84,God Gave Me A Girl,Russell Dickerson
85,Standing Room Only,Tim McGraw
86,Fina,Bad Bunny & Young Miko
87,El Amor de Su Vida,Grupo Frontera & Grupo Firme
88,All You Had To Do Was Stay (Taylor's Version),Taylor Swift
89,Turks & Caicos,Rod Wave Featuring 21 Savage
90,Mi Ex Tenia Razon,Karol G
91,New Romantics (Taylor's Version),Taylor Swift
92,Un Preview,Bad Bunny
93,Too Much,"The Kid LAROI, Jung Kook & Central Cee"
94,Save Me The Trouble,Dan + Shay
95,Clean (Taylor's Version),Taylor Swift
96,Bleed,The Kid LAROI
97,But I Got A Beer In My Hand,Luke Bryan
98,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
99,Sarah's Place,Zach Bryan Featuring Noah Kahan
